variant,p,cred_full_major_alone_mean,cred_full_both_mean,gap_mean,gap_se,ref_2pm1,phrasing_sd_mean,sum_check_mean,is_degenerate,n_items,action_margin_mean
outcome,0.5,0.9897312239376033,0.5181124072457955,0.47161881669180783,0.05584634223353233,0.0,0.11538256919993221,1.507843631183399,False,20,-1.0874999639834642
outcome,0.6,0.9876956178857343,0.6088053936686523,0.3788902242170824,0.05742516835417916,0.19999999999999996,0.10451827762847873,1.5965010115543867,False,20,-0.0749999900246621
outcome,0.7,0.9888817542914579,0.5778029996376228,0.41107875465383514,0.05494925479111918,0.3999999999999999,0.11231451143273836,1.5666847539290807,False,20,0.9374999873381056
outcome,0.75,0.9836826697630802,0.5629774228667566,0.42070524689632344,0.05230505475828529,0.5,0.12358868322293548,1.5466600926298366,False,20,1.6875000059304512
outcome,0.8,0.9850991460448263,0.5396267732552755,0.44547237278955076,0.052264231376789136,0.6000000000000001,0.12010923538963791,1.5247259193001017,False,20,1.2249999653959094
outcome,0.85,0.9892101692268509,0.5726630754656349,0.416547093761216,0.05730542744644032,0.7,0.11413311277092235,1.561873244692486,False,20,0.912499991721046
outcome,0.9,0.993921805616418,0.5644510753233989,0.4294707302930193,0.05599669730708425,0.8,0.11129912102028772,1.5583728809398167,False,20,1.3499999624605152
outcome,0.99,0.9938177488533514,0.547289141002132,0.4465286078512191,0.05690890020317866,0.98,0.1148114964115566,1.5411068898554834,False,20,2.299999952551025
prediction,0.5,0.9475091861066881,0.44342538560369943,0.5040838005029885,0.039715803306094484,0.0,0.10726584222650312,1.3909345717103876,False,20,-1.0874999639834642
prediction,0.6,0.9490588981132186,0.4464902520431739,0.5025686460700446,0.046413373314045374,0.19999999999999996,0.10172919521592602,1.3955491501563924,False,20,-0.0749999900246621
prediction,0.7,0.9586485941562881,0.43333032181646314,0.5253182723398251,0.04467537187177284,0.3999999999999999,0.10435296535349262,1.391978915972751,False,20,0.9374999873381056
prediction,0.75,0.9596117513493866,0.40641784213261867,0.5531939092167681,0.04876124789512889,0.5,0.10414398931199412,1.3660295934820055,False,20,1.6875000059304512
prediction,0.8,0.9625108366822369,0.41572072662330306,0.5467901100589337,0.04127926439891577,0.6000000000000001,0.0938768406801393,1.37823156330554,False,20,1.2249999653959094
prediction,0.85,0.9613745238453838,0.4498216468793351,0.5115528769660487,0.03632070929228346,0.7,0.11492976567204123,1.411196170724719,False,20,0.912499991721046
prediction,0.9,0.9654621101384077,0.4612606544294679,0.50420145570894,0.04346046343745056,0.8,0.10563042816035148,1.4267227645678757,False,20,1.3499999624605152
prediction,0.99,0.9817480466459017,0.4902298249041273,0.4915182217417743,0.04297240650245947,0.98,0.10828658291973899,1.471977871550029,False,20,2.299999952551025
direct,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.0,False,20,-1.0874999639834642
direct,0.6,0.5999999999999999,0.41000000000000003,0.19,0.009999999999999995,0.19999999999999996,0.0,1.01,False,20,-0.0749999900246621
direct,0.7,0.6999999999999998,0.29999999999999993,0.4,1.273513149771875e-17,0.3999999999999999,0.0,1.0,False,20,0.9374999873381056
direct,0.75,0.75,0.25,0.5,0.0,0.5,0.0,1.0,False,20,1.6875000059304512
direct,0.8,0.8000000000000002,0.20000000000000004,0.6,2.54702629954375e-17,0.6000000000000001,0.0,1.0,False,20,1.2249999653959094
direct,0.85,0.85,0.14999999999999997,0.6999999999999998,2.54702629954375e-17,0.7,0.0,1.0,False,20,0.912499991721046
direct,0.9,0.8999999999999998,0.10000000000000002,0.8000000000000002,2.54702629954375e-17,0.8,0.0,1.0,False,20,1.3499999624605152
direct,0.99,0.9899999999999997,1.0,-0.010000000000000009,0.0,0.98,0.0,1.9900000000000002,True,20,2.299999952551025
