variant,p,cred_full_major_alone_mean,cred_full_both_mean,gap_mean,gap_se,ref_2pm1,phrasing_sd_mean,sum_check_mean,is_degenerate,n_items,action_margin_mean,gap_adj_mean
outcome,0.5,0.9988195116536602,0.9906784963714017,0.008141015282258579,0.0019344004538184203,0.0,0.004439720121851736,1.9894980080250622,True,20,-0.3445311784744262,0.0
outcome,0.6,0.9990570995260433,0.9903290779128954,0.008728021613147669,0.001817289008842365,0.19999999999999996,0.004464199345547263,1.989386177438939,True,20,-0.3257813215255737,0.0005870063308890897
outcome,0.7,0.9988258699027466,0.9911277702510416,0.0076980996517049425,0.0019404851399003108,0.3999999999999999,0.0044893989217293494,1.9899536401537876,True,20,0.04453125,-0.00044291563055363654
outcome,0.8,0.9990613717417574,0.991587519389572,0.007473852352185289,0.0014250481868232703,0.6000000000000001,0.0036394474587155686,1.9906488911313294,True,20,0.1062499284744262,-0.0006671629300732899
outcome,0.9,0.9990738748666044,0.9915340896645086,0.007539785202095662,0.0018563494932843725,0.8,0.004304843136241126,1.9906079645311128,True,20,0.0687500238418579,-0.0006012300801629174
outcome,0.99,0.9992875484870247,0.9934523833879073,0.005835165099117273,0.0010451040577447186,0.98,0.003036266057232932,1.992739931874932,True,20,0.3867186784744262,-0.002305850183141306
prediction,0.5,0.9307636338241257,0.6010763444084523,0.3296872894156733,0.030392999857226707,0.0,0.12423417551323976,1.531839978232578,False,20,-0.3445311784744262,0.0
prediction,0.6,0.9408185505957188,0.60076535674476,0.34005319385095895,0.03069273279451538,0.19999999999999996,0.11872804892618763,1.541583907340479,False,20,-0.3257813215255737,0.010365904435285622
prediction,0.7,0.932348453916954,0.5452175816480097,0.38713087226894405,0.03361548937863676,0.3999999999999999,0.12449668321952227,1.4775660355649638,False,20,0.04453125,0.057443582853270725
prediction,0.8,0.9501080274474377,0.5810646478847276,0.36904337956271016,0.02806108142323466,0.6000000000000001,0.12239294208853217,1.5311726753321655,False,20,0.1062499284744262,0.03935609014703684
prediction,0.9,0.9417015260287844,0.5726742833105872,0.3690272427181973,0.031319118979962965,0.8,0.1179256022087443,1.5143758093393718,False,20,0.0687500238418579,0.03933995330252399
prediction,0.99,0.9379889887653352,0.4934176249362743,0.44457136382906093,0.03087641158770549,0.98,0.12003310489329619,1.4314066137016093,False,20,0.3867186784744262,0.1148840744133876
